236,Boise State University,Boise
237,Illinois State University,Normal
238,University of Northern Iowa,Cedar Falls
239,Bryn Mawr College,Bryn Mawr
240,United States Military Academy,West Point
241,Babson College,Babson Park
242,Bucknell University,Lewisburg
243,Wellesley College,Wellesley
244,Loyola Marymount University,Los Angeles
245,Vassar College,Poughkeepsie
246,University of Nebraska at Omaha,Omaha
247,Wright State University,Dayton ...
248,Brigham Young University-Idaho,Rexburg
249,Cleveland State University,Cleveland
250,Savannah College of Art and Design,Savannah ...
251,Colby College,Waterville
252,University of Toledo,Toledo
253,East Carolina University,Greenville
254,Montclair State University,Montclair
255,Monmouth University,West Long Branch
256,Thomas Jefferson University,Philadelphia
257,Central Michigan University,Mount Pleasant
258,Marist College,Poughkeepsie
259,Humboldt State University,Arcata
260,Texas Christian University,Fort Worth
261,Rasmussen College,St. Cloud ...
262,Grand Canyon University,Phoenix
263,Western Kentucky University,Bowling Green
264,Elon University,Elon
265,University of Missouri-St. Louis,St. Louis
266,University of North Florida,Jacksonville
267,The University of Alabama in Huntsville,Huntsville
268,Ithaca College,Ithaca
269,"Lehman College, CUNY",The Bronx
270,Medical University of South Carolina,Charleston
271,"California State University, San Bernardino",San Bernardino ...
272,Oakland University,Rochester
273,Missouri State University,Springfield ...
274,Harvey Mudd College,Claremont ...
275,Southern Illinois University Edwardsville,Edwardsville ...
276,Loma Linda University,Loma Linda
277,University of Southern Mississippi,Hattiesburg
278,Ball State University,Muncie
279,Sonoma State University,Rohnert Park
280,Wichita State University,Wichita
281,Oberlin College,Oberlin
282,College of Charleston,Charleston
283,Missouri University of Science and Technology,Rolla
284,Towson University,Towson
285,Eastern Michigan University,Ypsilanti ...
286,Bowdoin College,Brunswick
287,Suffolk University,Boston ...
288,University of St. Thomas,Saint Paul ...
289,University of Texas Southwestern Medical Center,Dallas
290,University of Massachusetts Medical School,Worcester
291,Kenyon College,Gambier
292,Marshall University,Huntington
293,Rhode Island School of Design,Providence
294,Idaho State University,Pocatello ...
295,Eastern Kentucky University,Richmond
296,Florida Institute of Technology,Melbourne
297,Ferris State University,Big Rapids
298,"California State University, Fresno",Fresno
299,"University of California, Merced",Merced ...
300,Lamar University,Beaumont
301,Sam Houston State University,Huntsville
302,University of North Carolina Wilmington,Wilmington
303,Earlham College,Richmond
304,The University of Texas Health Science Center at San Antonio,San Antonio
305,University of Baltimore,Baltimore
306,Fashion Institute of Technology,New York City
307,East Tennessee State University,Johnson City ...
308,Pomona College,Claremont
309,Gallaudet University,Washington
310,Duquesne University,Pittsburgh
311,University of Wisconsin-Eau Claire,Eau Claire
312,The Evergreen State College,Olympia
313,Seattle University,Seattle
314,University of Colorado Colorado Springs,Colorado Springs
315,Bentley University,Waltham
316,Washington and Lee University,Lexington
317,Weber State University,Ogden ...
318,Rowan University,Glassboro ...
319,"Minnesota State University, Mankato",Mankato ...
320,Dickinson College,Carlisle
321,Biola University,La Mirada
322,Western Illinois University,Macomb ...
323,Valencia College,Orlando
324,University of Wisconsin-Stevens Point,Stevens Point
325,Davidson College,Davidson
326,Reed College,Portland
327,The University of Texas Health Science Center at Houston,Houston
328,Webster University,St. Louis
329,Georgia Southern University,Statesboro ...
330,Hanover College,Hanover
331,School of Visual Arts,New York City
332,Barnard College,New York City
333,University of Illinois at Springfield,Springfield ...
334,The Rockefeller University,New York City
335,University of South Dakota,Vermillion
336,The University of Tulsa,Tulsa
337,"California State University, Los Angeles",Los Angeles
338,The University of Texas Medical Branch at Galveston,Galveston
339,University of Massachusetts Dartmouth,North Dartmouth
340,Central Connecticut State University,New Britain
341,Simmons University,Boston
342,DeVry University,Chicago ...
343,Lock Haven University,Lock Haven ...
344,Stetson University,DeLand
345,Trinity College,Hartford
346,Bates College,Lewiston
347,Fairleigh Dickinson University,Teaneck ...
348,College of the Holy Cross,Worcester
349,Radford University,Radford
